Sett No,Sett Type,Trans Date,Sec/Funds Pay-in & Pay-out date 
2122200,0,28/01/2022,28/01/2022
2122200,1,28/01/2022,31/01/2022
2122200,2,28/01/2022,01/02/2022
2122201,0,31/01/2022,31/01/2022
2122201,1,31/01/2022,01/02/2022
2122201,2,31/01/2022,02/02/2022
2122202,0,01/02/2022,01/02/2022
2122202,1,01/02/2022,02/02/2022
2122202,2,01/02/2022,03/02/2022
2122203,0,02/02/2022,02/02/2022
2122203,1,02/02/2022,03/02/2022
2122203,2,02/02/2022,04/02/2022
2122204,0,03/02/2022,03/02/2022
2122204,1,03/02/2022,04/02/2022
2122204,2,03/02/2022,07/02/2022
2122205,0,04/02/2022,04/02/2022
2122205,1,04/02/2022,07/02/2022
2122205,2,04/02/2022,08/02/2022
2122206,0,07/02/2022,07/02/2022
2122206,1,07/02/2022,08/02/2022
2122206,2,07/02/2022,09/02/2022
2122207,0,08/02/2022,08/02/2022
2122207,1,08/02/2022,09/02/2022
2122207,2,08/02/2022,10/02/2022
2122208,0,09/02/2022,09/02/2022
2122208,1,09/02/2022,10/02/2022
2122208,2,09/02/2022,11/02/2022
2122209,0,10/02/2022,10/02/2022
2122209,1,10/02/2022,11/02/2022
2122209,2,10/02/2022,14/02/2022
2122210,0,11/02/2022,11/02/2022
2122210,1,11/02/2022,14/02/2022
2122210,2,11/02/2022,15/02/2022
2122211,0,14/02/2022,14/02/2022
2122211,1,14/02/2022,15/02/2022
2122211,2,14/02/2022,16/02/2022
2122212,0,15/02/2022,15/02/2022
2122212,1,15/02/2022,16/02/2022
2122212,2,15/02/2022,17/02/2022
2122213,0,16/02/2022,16/02/2022
2122213,1,16/02/2022,17/02/2022
2122213,2,16/02/2022,18/02/2022
2122214,0,17/02/2022,17/02/2022
2122214,1,17/02/2022,18/02/2022
2122214,2,17/02/2022,21/02/2022
2122215,0,18/02/2022,18/02/2022
2122215,1,18/02/2022,21/02/2022
2122215,2,18/02/2022,22/02/2022
2122216,0,21/02/2022,21/02/2022
2122216,1,21/02/2022,22/02/2022
2122216,2,21/02/2022,23/02/2022
2122217,0,22/02/2022,22/02/2022
2122217,1,22/02/2022,23/02/2022
2122217,2,22/02/2022,24/02/2022
2122218,0,23/02/2022,23/02/2022
2122218,1,23/02/2022,24/02/2022
2122218,2,23/02/2022,25/02/2022
2122219,0,24/02/2022,24/02/2022
2122219,1,24/02/2022,25/02/2022
2122219,2,24/02/2022,28/02/2022
2122220,0,25/02/2022,25/02/2022
2122220,1,25/02/2022,28/02/2022
2122220,2,25/02/2022,02/03/2022
2122221,0,28/02/2022,28/02/2022
2122221,1,28/02/2022,02/03/2022
2122221,2,28/02/2022,03/03/2022
2122200,R0,28/01/2022,28/01/2022
2122200,R1,28/01/2022,31/01/2022
2122200,R2,28/01/2022,31/01/2022
2122201,R0,31/01/2022,31/01/2022
2122201,R1,31/01/2022,01/02/2022
2122201,R2,31/01/2022,01/02/2022
2122202,R0,01/02/2022,01/02/2022
2122202,R1,01/02/2022,02/02/2022
2122202,R2,01/02/2022,02/02/2022
2122203,R0,02/02/2022,02/02/2022
2122203,R1,02/02/2022,03/02/2022
2122203,R2,02/02/2022,03/02/2022
2122204,R0,03/02/2022,03/02/2022
2122204,R1,03/02/2022,04/02/2022
2122204,R2,03/02/2022,04/02/2022
2122205,R0,04/02/2022,04/02/2022
2122205,R1,04/02/2022,07/02/2022
2122205,R2,04/02/2022,07/02/2022
2122206,R0,07/02/2022,07/02/2022
2122206,R1,07/02/2022,08/02/2022
2122206,R2,07/02/2022,08/02/2022
2122207,R0,08/02/2022,08/02/2022
2122207,R1,08/02/2022,09/02/2022
2122207,R2,08/02/2022,09/02/2022
2122208,R0,09/02/2022,09/02/2022
2122208,R1,09/02/2022,10/02/2022
2122208,R2,09/02/2022,10/02/2022
2122209,R0,10/02/2022,10/02/2022
2122209,R1,10/02/2022,11/02/2022
2122209,R2,10/02/2022,11/02/2022
2122210,R0,11/02/2022,11/02/2022
2122210,R1,11/02/2022,14/02/2022
2122210,R2,11/02/2022,14/02/2022
2122211,R0,14/02/2022,14/02/2022
2122211,R1,14/02/2022,15/02/2022
2122211,R2,14/02/2022,15/02/2022
2122212,R0,15/02/2022,15/02/2022
2122212,R1,15/02/2022,16/02/2022
2122212,R2,15/02/2022,16/02/2022
2122213,R0,16/02/2022,16/02/2022
2122213,R1,16/02/2022,17/02/2022
2122213,R2,16/02/2022,17/02/2022
2122214,R0,17/02/2022,17/02/2022
2122214,R1,17/02/2022,18/02/2022
2122214,R2,17/02/2022,18/02/2022
2122215,R0,18/02/2022,18/02/2022
2122215,R1,18/02/2022,21/02/2022
2122215,R2,18/02/2022,21/02/2022
2122216,R0,21/02/2022,21/02/2022
2122216,R1,21/02/2022,22/02/2022
2122216,R2,21/02/2022,22/02/2022
2122217,R0,22/02/2022,22/02/2022
2122217,R1,22/02/2022,23/02/2022
2122217,R2,22/02/2022,23/02/2022
2122218,R0,23/02/2022,23/02/2022
2122218,R1,23/02/2022,24/02/2022
2122218,R2,23/02/2022,24/02/2022
2122219,R0,24/02/2022,24/02/2022
2122219,R1,24/02/2022,25/02/2022
2122219,R2,24/02/2022,25/02/2022
2122220,R0,25/02/2022,25/02/2022
2122220,R1,25/02/2022,28/02/2022
2122220,R2,25/02/2022,28/02/2022
2122221,R0,28/02/2022,28/02/2022
2122221,R1,28/02/2022,02/03/2022
2122221,R2,28/02/2022,02/03/2022
