Sett No,Sett Type,Trans Date,Sec/Funds Pay-in & Pay-out date 
2122037,0,01/06/2021,01/06/2021
2122037,1,01/06/2021,02/06/2021
2122037,2,01/06/2021,03/06/2021
2122038,0,02/06/2021,02/06/2021
2122038,1,02/06/2021,03/06/2021
2122038,2,02/06/2021,04/06/2021
2122039,0,03/06/2021,03/06/2021
2122039,1,03/06/2021,04/06/2021
2122039,2,03/06/2021,07/06/2021
2122040,0,04/06/2021,04/06/2021
2122040,1,04/06/2021,07/06/2021
2122040,2,04/06/2021,08/06/2021
2122041,0,07/06/2021,07/06/2021
2122041,1,07/06/2021,08/06/2021
2122041,2,07/06/2021,09/06/2021
2122042,0,08/06/2021,08/06/2021
2122042,1,08/06/2021,09/06/2021
2122042,2,08/06/2021,10/06/2021
2122043,0,09/06/2021,09/06/2021
2122043,1,09/06/2021,10/06/2021
2122043,2,09/06/2021,11/06/2021
2122044,0,10/06/2021,10/06/2021
2122044,1,10/06/2021,11/06/2021
2122044,2,10/06/2021,14/06/2021
2122045,0,11/06/2021,11/06/2021
2122045,1,11/06/2021,14/06/2021
2122045,2,11/06/2021,15/06/2021
2122046,0,14/06/2021,14/06/2021
2122046,1,14/06/2021,15/06/2021
2122046,2,14/06/2021,16/06/2021
2122047,0,15/06/2021,15/06/2021
2122047,1,15/06/2021,16/06/2021
2122047,2,15/06/2021,17/06/2021
2122048,0,16/06/2021,16/06/2021
2122048,1,16/06/2021,17/06/2021
2122048,2,16/06/2021,18/06/2021
2122049,0,17/06/2021,17/06/2021
2122049,1,17/06/2021,18/06/2021
2122049,2,17/06/2021,21/06/2021
2122050,0,18/06/2021,18/06/2021
2122050,1,18/06/2021,21/06/2021
2122050,2,18/06/2021,22/06/2021
2122051,0,21/06/2021,21/06/2021
2122051,1,21/06/2021,22/06/2021
2122051,2,21/06/2021,23/06/2021
2122052,0,22/06/2021,22/06/2021
2122052,1,22/06/2021,23/06/2021
2122052,2,22/06/2021,24/06/2021
2122053,0,23/06/2021,23/06/2021
2122053,1,23/06/2021,24/06/2021
2122053,2,23/06/2021,25/06/2021
2122054,0,24/06/2021,24/06/2021
2122054,1,24/06/2021,25/06/2021
2122054,2,24/06/2021,28/06/2021
2122055,0,25/06/2021,25/06/2021
2122055,1,25/06/2021,28/06/2021
2122055,2,25/06/2021,29/06/2021
2122056,0,28/06/2021,28/06/2021
2122056,1,28/06/2021,29/06/2021
2122056,2,28/06/2021,30/06/2021
2122057,0,29/06/2021,29/06/2021
2122057,1,29/06/2021,30/06/2021
2122057,2,29/06/2021,01/07/2021
2122058,0,30/06/2021,30/06/2021
2122058,1,30/06/2021,01/07/2021
2122058,2,30/06/2021,02/07/2021
2122037,R0,01/06/2021,01/06/2021
2122037,R1,01/06/2021,02/06/2021
2122037,R2,01/06/2021,02/06/2021
2122038,R0,02/06/2021,02/06/2021
2122038,R1,02/06/2021,03/06/2021
2122038,R2,02/06/2021,03/06/2021
2122039,R0,03/06/2021,03/06/2021
2122039,R1,03/06/2021,04/06/2021
2122039,R2,03/06/2021,04/06/2021
2122040,R0,04/06/2021,04/06/2021
2122040,R1,04/06/2021,07/06/2021
2122040,R2,04/06/2021,07/06/2021
2122041,R0,07/06/2021,07/06/2021
2122041,R1,07/06/2021,08/06/2021
2122041,R2,07/06/2021,08/06/2021
2122042,R0,08/06/2021,08/06/2021
2122042,R1,08/06/2021,09/06/2021
2122042,R2,08/06/2021,09/06/2021
2122043,R0,09/06/2021,09/06/2021
2122043,R1,09/06/2021,10/06/2021
2122043,R2,09/06/2021,10/06/2021
2122044,R0,10/06/2021,10/06/2021
2122044,R1,10/06/2021,11/06/2021
2122044,R2,10/06/2021,11/06/2021
2122045,R0,11/06/2021,11/06/2021
2122045,R1,11/06/2021,14/06/2021
2122045,R2,11/06/2021,14/06/2021
2122046,R0,14/06/2021,14/06/2021
2122046,R1,14/06/2021,15/06/2021
2122046,R2,14/06/2021,15/06/2021
2122047,R0,15/06/2021,15/06/2021
2122047,R1,15/06/2021,16/06/2021
2122047,R2,15/06/2021,16/06/2021
2122048,R0,16/06/2021,16/06/2021
2122048,R1,16/06/2021,17/06/2021
2122048,R2,16/06/2021,17/06/2021
2122049,R0,17/06/2021,17/06/2021
2122049,R1,17/06/2021,18/06/2021
2122049,R2,17/06/2021,18/06/2021
2122050,R0,18/06/2021,18/06/2021
2122050,R1,18/06/2021,21/06/2021
2122050,R2,18/06/2021,21/06/2021
2122051,R0,21/06/2021,21/06/2021
2122051,R1,21/06/2021,22/06/2021
2122051,R2,21/06/2021,22/06/2021
2122052,R0,22/06/2021,22/06/2021
2122052,R1,22/06/2021,23/06/2021
2122052,R2,22/06/2021,23/06/2021
2122053,R0,23/06/2021,23/06/2021
2122053,R1,23/06/2021,24/06/2021
2122053,R2,23/06/2021,24/06/2021
2122054,R0,24/06/2021,24/06/2021
2122054,R1,24/06/2021,25/06/2021
2122054,R2,24/06/2021,25/06/2021
2122055,R0,25/06/2021,25/06/2021
2122055,R1,25/06/2021,28/06/2021
2122055,R2,25/06/2021,28/06/2021
2122056,R0,28/06/2021,28/06/2021
2122056,R1,28/06/2021,29/06/2021
2122056,R2,28/06/2021,29/06/2021
2122057,R0,29/06/2021,29/06/2021
2122057,R1,29/06/2021,30/06/2021
2122057,R2,29/06/2021,30/06/2021
2122058,R0,30/06/2021,30/06/2021
2122058,R1,30/06/2021,01/07/2021
2122058,R2,30/06/2021,01/07/2021
